iter	Accuracy	Logloss
304	0.9335457617	0.1781552257
305	0.933622543	0.1780696467
306	0.933622543	0.177999894
307	0.9335841523	0.1778398118
308	0.9335841523	0.1777366435
309	0.933622543	0.1776537239
310	0.9338912776	0.1773344325
311	0.933968059	0.1772055783
312	0.933968059	0.1768834409
313	0.934083231	0.1767264294
314	0.9341216216	0.1764387947
315	0.9345439189	0.1759989476
316	0.9348126536	0.1757078383
317	0.9352349509	0.1751907561
318	0.9353501229	0.1750660888
319	0.9353885135	0.1749546353
320	0.9355036855	0.174603957
321	0.9359643735	0.1740648975
322	0.9360027641	0.1739616161
323	0.9362331081	0.1737637246
324	0.9360795455	0.17369625
325	0.9362331081	0.1736075654
326	0.9361947174	0.1734561615
327	0.9365786241	0.1730610478
328	0.9365018428	0.1730084812
329	0.9368473587	0.1725784969
330	0.9367705774	0.1723041765
331	0.9368089681	0.1720880805
332	0.9373080467	0.1719291385
333	0.9373464373	0.1718629613
334	0.9373464373	0.1716351948
335	0.9374616093	0.1713810056
336	0.9375767813	0.1711413287
337	0.9376535627	0.1711024608
338	0.937730344	0.1708746411
339	0.9378839066	0.1706470678
340	0.9379990786	0.17028689
341	0.9378839066	0.1702257041
342	0.9381142506	0.1699543635
343	0.9381142506	0.1696748653
344	0.9386133292	0.1692383194
345	0.9385749386	0.1691871588
346	0.9388436732	0.1689707743
347	0.9388436732	0.1689406968
348	0.9389204545	0.1686825968
349	0.9390356265	0.1683313304
350	0.9390356265	0.1681420498
351	0.9391891892	0.1676839544
352	0.9392275799	0.1673931497
353	0.9394579238	0.1672488079
354	0.9398034398	0.1668899629
355	0.9399186118	0.166632262
356	0.9403792998	0.1663194601
357	0.9403792998	0.1662270699
358	0.9403025184	0.1661558103
359	0.9404176904	0.1658071446
360	0.9405712531	0.1655189117
361	0.9406480344	0.1653079855
362	0.9406096437	0.1652917516
363	0.9408015971	0.1652005323
364	0.9410703317	0.1649159149
365	0.9412238943	0.1646382798
366	0.9413006757	0.1644389562
367	0.9415310197	0.1640917944
368	0.9415310197	0.1639985712
369	0.9416461916	0.163808408
370	0.941377457	0.1636234256
371	0.9416461916	0.1634495764
372	0.941722973	0.1632889611
